DLL Page Link,Authorized Name,Author Name Native Language,Author Name Latin,Author Name English,Other Alternative Name Form(s),Related to other DLL Author(s),BNE Name,BNF Name,DNB Name,ICCU Name,ISNI Name,Perseus Name,Author Name Abbreviations,Author Birth Date,Author Death Date,Floruit/Active,Time Period,VIAF Source,LoC Source,LofC URI,BNE URL,BNF URL,DNB URL,ICCU URL,ISNI URL,Wikidata URL,Wikipedia,WorldCat Identity,DLL Identifier,VIAF ID,LoC ID,PHI Number,Stoa Number,CTS URN
https://catalog.digitallatin.org/dll-author/A6296,"Leo, Friedrich, 1851-1914",,,,,,,Leo Friedrich 1851-1914,"Leo, Friedrich 1851-1914",,"Leo, Friedrich",,,1851,1914,19th Century A.D. - 20th Century A.D.,Neo-Latin,http://viaf.org/viaf/12434961,https://lccn.loc.gov/c.gov/authorities/names/n90644361,https://id.loc.gov/authorities/names/n90644361,,http://catalogue.bnf.fr/ark:/12148/cb12863237p,http://d-nb.info/gnd/116918365,,http://isni.org/isni/0000000121210195,https://www.wikidata.org/entity/Q71353#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Friedrich_Leo,https://www.worldcat.org/identities/lccn-n90644361,A6296,12434961,n90644361,,,
https://catalog.digitallatin.org/dll-author/A6294,"Kurfess, Alfons, 1889-1965",,,,,,,,"Kurfess, Alfons 1889-1965",,"Kurfess, Alfons 1889-",,,1889,1965,20th Century A.D.,Neo-Latin,http://viaf.org/viaf/52475058,https://lccn.loc.gov/c.gov/authorities/names/n88145832,https://id.loc.gov/authorities/names/n88145832,,,http://d-nb.info/gnd/117756113,,http://isni.org/isni/0000000109015151,https://www.wikidata.org/entity/Q18616119#sitelinks-wikipedia,,https://www.worldcat.org/identities/lccn-n88145832,A6294,52475058,n88145832,,,
https://catalog.digitallatin.org/dll-author/A6295,"Ahlberg, Axel W. (Axel Wilhelm), 1874-1951",,,,,,,,"Ahlberg, Axel W. 1874-1951","Ahlberg , A. W.","Ahlberg, Axel W. 1874-1951",,,1874,1951,20th Century A.D.,Neo-Latin,http://viaf.org/viaf/60087717,https://lccn.loc.gov/c.gov/authorities/names/nr95015154,https://id.loc.gov/authorities/names/nr95015154,,,http://d-nb.info/gnd/143791303,http://id.sbn.it/af/IT\ICCU\SBLV\285063,http://isni.org/isni/000000011844920X,https://www.wikidata.org/entity/Q5543810#sitelinks-wikipedia,,https://www.worldcat.org/identities/lccn-nr95015154,A6295,60087717,nr95015154,,,
https://catalog.digitallatin.org/dll-author/A6293,"Rühl, Franz, 1845-1916",,Franciscus Ruehl,,,,,Rühl Franz,"Rühl, Franz 1845-1916",,"Rühl, Franz 1845-1915",,,1845,1916,19th Century A.D. - 20th Century A.D.,Neo-Latin,http://viaf.org/viaf/61638470,https://lccn.loc.gov/c.gov/authorities/names/nr89013904,https://id.loc.gov/authorities/names/nr89013904,,http://catalogue.bnf.fr/ark:/12148/cb12427600w,http://d-nb.info/gnd/116675586,,http://isni.org/isni/0000000117662690,https://www.wikidata.org/entity/Q97888#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Franz_Rühl,https://www.worldcat.org/identities/lccn-nr89013904,A6293,61638470,nr89013904,,,
https://catalog.digitallatin.org/dll-author/A6275,"Schlee, Friedrich, 1854-1913",,,,,,,,"Schlee, Friedrich 1854-1913",,"Schlee, Friedrich H.",,,1854,1913,19th Century A.D. - 20th Century A.D.,Neo-Latin,http://viaf.org/viaf/98187159,,,,,http://d-nb.info/gnd/1011399709,,http://isni.org/isni/0000000119533147,,,,A6275,98187159,,,,
https://catalog.digitallatin.org/dll-author/A6276,"Schmid, Theodor, 1798-1877",,,,,,,,"Schmid, Friedrich Ernst Theodor 1798-1877",,"Schmidius, Th",,,1798,1877,18th Century A.D. - 19th Century A.D.,Neo-Latin,http://viaf.org/viaf/7059470,https://lccn.loc.gov/c.gov/authorities/names/no2017031860,https://id.loc.gov/authorities/names/no2017031860,,,http://d-nb.info/gnd/117496375,,http://isni.org/isni/0000000118876148,https://www.wikidata.org/entity/Q2418242#sitelinks-wikipedia,,https://www.worldcat.org/identities/lccn-no2017031860,A6276,7059470,no2017031860,,,
https://catalog.digitallatin.org/dll-author/A6277,"Schmidt, Wilhelm, 1862-1905",,,,,,,Schmidt Wilhelm 1862-1905,"Schmidt, Wilhelm 1862-1905",,"Schmidt, Wilhelm",,,1862,1905,19th Century A.D. - 20th Century A.D.,Neo-Latin,http://viaf.org/viaf/56721405,https://lccn.loc.gov/c.gov/authorities/names/no2005077533,https://id.loc.gov/authorities/names/no2005077533,,http://catalogue.bnf.fr/ark:/12148/cb125344558,http://d-nb.info/gnd/117515116,,http://isni.org/isni/0000000081357503,,,https://www.worldcat.org/identities/lccn-no2005077533,A6277,56721405,no2005077533,,,
https://catalog.digitallatin.org/dll-author/A6278,"Schömann, Georg Friedrich, 1793-1879",,,,,,,Schoemann Georg Friedrich 1793-1879,"Schömann, Georg Friedrich 1793-1879",,"Schoemann, Georg Friedrich",,,1793,1879,18th Century A.D. - 19th Century A.D.,Neo-Latin,http://viaf.org/viaf/69693288,https://lccn.loc.gov/c.gov/authorities/names/nr95045272,https://id.loc.gov/authorities/names/nr95045272,,http://catalogue.bnf.fr/ark:/12148/cb10635170g,http://d-nb.info/gnd/116857641,,http://isni.org/isni/0000000109130854,https://www.wikidata.org/entity/Q86755#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Georg_Friedrich_Schömann,https://www.worldcat.org/identities/lccn-nr95045272,A6278,69693288,nr95045272,,,
https://catalog.digitallatin.org/dll-author/A6279,"Schubart, Wilhelm, 1873-1960",,,,,,,Schubart Wilhelm 1873-1960,"Schubart, Wilhelm 1873-1960",,"Schubart, Wilhelm, 1873-1960",,,1873,1960,19th Century A.D. - 20th Century A.D.,Neo-Latin,http://viaf.org/viaf/109786099,https://lccn.loc.gov/c.gov/authorities/names/n86850488,https://id.loc.gov/authorities/names/n86850488,,http://catalogue.bnf.fr/ark:/12148/cb123196391,http://d-nb.info/gnd/118795511,,http://isni.org/isni/0000000109337361,https://www.wikidata.org/entity/Q114058#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Wilhelm_Schubart,https://www.worldcat.org/identities/lccn-n86850488,A6279,109786099,n86850488,,,
https://catalog.digitallatin.org/dll-author/A6280,"Siebelis, Johannes, 1817-1867",,,,,,,,"Siebelis, Johannes 1817-1867",,"Siebelis, Johannes",,,1817,1867,19th Centry A.D.,Neo-Latin,http://viaf.org/viaf/54923312,https://lccn.loc.gov/c.gov/authorities/names/no2011072713,https://id.loc.gov/authorities/names/no2011072713,,,http://d-nb.info/gnd/117338567,,http://isni.org/isni/0000000119500740,https://www.wikidata.org/entity/Q21544160#sitelinks-wikipedia,,https://www.worldcat.org/identities/lccn-no2011072713,A6280,54923312,no2011072713,,,
https://catalog.digitallatin.org/dll-author/A6281,"Sittl, Karl, 1862-1899",,,,,,,,"Sittl, Karl 1862-1899",,Karl Sittl deutscher Altphilologe und Klassischer Archäologe,,,1862,1899,19th Centry A.D.,Neo-Latin,http://viaf.org/viaf/191393719,https://lccn.loc.gov/c.gov/authorities/names/no96036277,https://id.loc.gov/authorities/names/no96036277,,,http://d-nb.info/gnd/120486520,,http://isni.org/isni/0000000109165723,https://www.wikidata.org/entity/Q1419470#sitelinks-wikipedia,,https://www.worldcat.org/identities/lccn-no96036277,A6281,191393719,no96036277,,,
https://catalog.digitallatin.org/dll-author/A6282,"Swoboda, Antonius, 1865-1928",,,,,,,,"Swoboda, Anton 1865-1928",,"Swoboda, Antonius 1865-1928",,,1865,1928,19th Century A.D. - 20th Century A.D.,Neo-Latin,http://viaf.org/viaf/61949392,https://lccn.loc.gov/c.gov/authorities/names/nr91016350,https://id.loc.gov/authorities/names/nr91016350,,,http://d-nb.info/gnd/11738609X,,http://isni.org/isni/0000000112609313,,,https://www.worldcat.org/identities/lccn-nr91016350,A6282,61949392,nr91016350,,,
https://catalog.digitallatin.org/dll-author/A6283,"Thulin, Carl, 1871-1921",,,,,,,Thulin Carl Olof 1871-1921,"Thulin, Carl Olof 1871-1921",,"Thulin, Carl",,,1871,1921,19th Century A.D. - 20th Century A.D.,Neo-Latin,http://viaf.org/viaf/22930048,https://lccn.loc.gov/c.gov/authorities/names/nr99027933,https://id.loc.gov/authorities/names/nr99027933,,http://catalogue.bnf.fr/ark:/12148/cb104564620,http://d-nb.info/gnd/118109014,,http://isni.org/isni/0000000081022367,https://www.wikidata.org/entity/Q18603019#sitelinks-wikipedia,,https://www.worldcat.org/identities/lccn-nr99027933,A6283,22930048,nr99027933,,,
https://catalog.digitallatin.org/dll-author/A6284,"Türk, Gustav, 1870-1914",,,,,,,,"Türk, Gustav",,"Türk, Gustav 1870-1914",,,1870,1914,19th Century A.D. - 20th Century A.D.,Neo-Latin,http://viaf.org/viaf/69712698,,,,,http://d-nb.info/gnd/117638544,,http://isni.org/isni/0000000062764162,https://www.wikidata.org/entity/Q19209691#sitelinks-wikipedia,,,A6284,69712698,,,,
https://catalog.digitallatin.org/dll-author/A6285,"Usener, Hermann, 1834-1905",,,,,,,Usener Hermann 1834-1905,"Usener, Hermann 1834-1905",,Hermann Usener deutscher Klassischer Philologe und Religionswissenschaftler,,,1834,1905,19th Century A.D. - 20th Century A.D.,Neo-Latin,http://viaf.org/viaf/5005589,https://lccn.loc.gov/c.gov/authorities/names/n87918221,https://id.loc.gov/authorities/names/n87918221,,http://catalogue.bnf.fr/ark:/12148/cb12347547h,http://d-nb.info/gnd/118763946,,http://isni.org/isni/0000000121186834,https://www.wikidata.org/entity/Q63078#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Hermann_Usener,https://www.worldcat.org/identities/lccn-n87918221,A6285,5005589,n87918221,,,
https://catalog.digitallatin.org/dll-author/A6286,"Vogel, Theodor, 1836-1912",,,,,,,,"Vogel, Theodor 1836-1912",,Theodor Vogel,,,1836,1912,19th Century A.D. - 20th Century A.D.,Neo-Latin,http://viaf.org/viaf/911641,https://lccn.loc.gov/c.gov/authorities/names/no00101144,https://id.loc.gov/authorities/names/no00101144,,,http://d-nb.info/gnd/123087139,,http://isni.org/isni/0000000115561423,https://www.wikidata.org/entity/Q1398826#sitelinks-wikipedia,,https://www.worldcat.org/identities/lccn-no00101144,A6286,911641,no00101144,,,
https://catalog.digitallatin.org/dll-author/A6287,"Vollgraff, J. C. (Johann Christoph), 1848-1920",,,,,,,Vollgraff Johann Christoph 1848-1920,"Vollgraff, Johann Christoph 1848-1920",,"Vollgraff, Johann Christoph 1848-1920",,,1848,1920,19th Century A.D. - 20th Century A.D.,Neo-Latin,http://viaf.org/viaf/30314793,https://lccn.loc.gov/c.gov/authorities/names/no90024375,https://id.loc.gov/authorities/names/no90024375,,https://catalogue.bnf.fr/ark:/12148/cb10647908z,http://d-nb.info/gnd/117487252,,http://isni.org/isni/0000000108140989,,,https://www.worldcat.org/identities/lccn-no90024375,A6287,30314793,no90024375,,,
https://catalog.digitallatin.org/dll-author/A6288,"Waltzing, Jean Pierre, 1857-1929",,,,,,,Waltzing Jean-Pierre 1857-1929,"Waltzing, Jean Pierre 1857-1929",,"Waltzing, Jean-Pierre",,,1857,1929,19th Century A.D. - 20th Century A.D.,Neo-Latin,http://viaf.org/viaf/45199363,https://lccn.loc.gov/c.gov/authorities/names/n2002114598,https://id.loc.gov/authorities/names/n2002114598,,http://catalogue.bnf.fr/ark:/12148/cb12323654p,http://d-nb.info/gnd/12308119X,,http://isni.org/isni/0000000122793062,https://www.wikidata.org/entity/Q41795580#sitelinks-wikipedia,,https://www.worldcat.org/identities/lccn-n2002114598,A6288,45199363,n2002114598,,,
https://catalog.digitallatin.org/dll-author/A6289,"Weber, Ernst, 1873",,,,,,,,"Weber, Ernestus",,"Weber, Ernst n. 1873",,,1873,,19th Centry A.D.,Neo-Latin,http://viaf.org/viaf/100906388,,,,,http://d-nb.info/gnd/126277958,,http://isni.org/isni/0000000443011463,,,,A6289,100906388,,,,
https://catalog.digitallatin.org/dll-author/A6290,"Weil, Henri, 1818-1909",,,,,,"Weil, Henri 1818-1909",Weil Henri 1818-1909,"Weil, Henri 1818-1909",,"Weil, Henri",,,1818,1909,19th Century A.D. - 20th Century A.D.,Neo-Latin,http://viaf.org/viaf/29581524,https://lccn.loc.gov/c.gov/authorities/names/n90666931,https://id.loc.gov/authorities/names/n90666931,http://catalogo.bne.es/uhtbin/authoritybrowse.cgi?action=display&authority_id=XX1305200,https://catalogue.bnf.fr/ark:/12148/cb122014395,http://d-nb.info/gnd/117251232,,http://isni.org/isni/0000000108833339,https://www.wikidata.org/entity/Q95327#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Henri_Weil,https://www.worldcat.org/identities/lccn-n90666931,A6290,29581524,n90666931,,,
https://catalog.digitallatin.org/dll-author/A6291,"Wesenberg, Albert Sadolin, 1804-1876",,,,,,,,"Wesenberg, Albert Sadolin 1804-1876",,"Wesenberg, Albertus Sadolinus 1804-1876",,,1804,1876,19th Centry A.D.,Neo-Latin,http://viaf.org/viaf/166719978,,,,,http://d-nb.info/gnd/1041789424,,http://isni.org/isni/0000000113994559,https://www.wikidata.org/entity/Q21543233#sitelinks-wikipedia,,,A6291,166719978,,,,
