DLL Page Link,DLL Identifier,Record title,DLL Author,DLL Contributor,DLL Work Reference,Publisher,Place of Publication,Date,Source,Repository Source,rights,rights,Type,Format
https://catalog.digitallatin.org/dll-item-record/IR991,IR991,Titi Livi Ab urbe condita libri I–III,Livy,"Weissenborn, Wilhelm, 1803-1878, Müller, Moritz, 1854-",Ab Urbe Condita,B.G. Teubner,Leipzig,1910,https://catalog.hathitrust.org/Record/006792412,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR992,IR992,Titi Livi Ab urbe condita libri,Livy,"Weissenborn, Wilhelm, 1803-1878",Ab Urbe Condita,B.G. Teubner,Leipzig,1877,https://catalog.hathitrust.org/Record/100491936,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR993,IR993,Ab urbe condita libri,Livy,"Müller, Moritz, 1854-, Weissenborn, Wilhelm, 1803-1878",Ab Urbe Condita,B.G. Teubner,Leipzig,1902,https://catalog.hathitrust.org/Record/009779744,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR994,IR994,Ab urbe condita für den Schulgebrauch,Livy,"Friedersdorff, F. (Franz), 1846-1911?, Müller, H. J., Luterbacher, Franz, 1850-1924, Wölfflin, Eduard von, 1831-1908, Müller, Moritz, 1854-",Ab Urbe Condita,B.G. Teubner,Leipzig,1878,https://catalog.hathitrust.org/Record/008394775,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR995,IR995,Ab urbe condita libri,Livy,"Heraeus, W. (Wilhelm), 1862-1938, Müller, Moritz, 1854-, Weissenborn, Wilhelm, 1803-1878",Ab Urbe Condita,B.G. Teubner,Leipzig,1884,https://catalog.hathitrust.org/Record/011665746,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR996,IR996,Titi Livi ab urbe condita liber I [-II] für den Schulgebrauch,Livy,"Frey, Joseph, 1834-1910",Ab Urbe Condita,B.G. Teubner,Leipzig,1865,https://catalog.hathitrust.org/Record/100464680,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR997,IR997,"Titi Livi Ab urbe condita libri. Pars 1, libri 1-10",Livy,"Müller, Moritz, 1854-, Weissenborn, Wilhelm, 1803-1878",Ab Urbe Condita,B.G. Teubner,Leipzig,1901,https://catalog.hathitrust.org/Record/100674183,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR998,IR998,Titi Livi Ab urbe condita libri,Livy,"Müller, Moritz, 1854-, Weissenborn, Wilhelm, 1803-1878",Ab Urbe Condita,B.G. Teubner,Leipzig,1908,https://catalog.hathitrust.org/Record/011595823,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR999,IR999,Titi Livi Ab urbe condita libri.,Livy,"Müller, Moritz, 1854-, Weissenborn, Wilhelm, 1803-1878",Ab Urbe Condita,B.G. Teubner,Leipzig,1894,https://catalog.hathitrust.org/Record/011595822,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR1000,IR1000,Titi Livi Ab urbe condita libri.,Livy,"Müller, Moritz, 1854-, Weissenborn, Wilhelm, 1803-1878",Ab Urbe Condita,B.G. Teubner,Leipzig,1905,https://catalog.hathitrust.org/Record/100639395,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR1001,IR1001,Titi Livi ab urbe condita libri.,Livy,"Müller, Moritz, 1854-, Weissenborn, Wilhelm, 1803-1878",Ab Urbe Condita,B.G. Teubner,Leipzig,1898,https://catalog.hathitrust.org/Record/008900044,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR1002,IR1002,Titi Livi Ab urbe condita libri,Livy,"Müller, Moritz, 1854-, Weissenborn, Wilhelm, 1803-1878",Ab Urbe Condita,B.G. Teubner,Leipzig,1901,https://catalog.hathitrust.org/Record/100570459,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR1003,IR1003,Titi Livi Ab urbe condita libri,Livy,"Müller, Moritz, 1854-, Weissenborn, Wilhelm, 1803-1878",Ab Urbe Condita,B.G. Teubner,Leipzig,1898,https://catalog.hathitrust.org/Record/006792413,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR1004,IR1004,Titi Livi ab urbe condita libri,Livy,"Müller, Moritz, 1854-, Weissenborn, Wilhelm, 1803-1878",Ab Urbe Condita,B.G. Teubner,Leipzig,1889,https://catalog.hathitrust.org/Record/009789882,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR1005,IR1005,Titi Livi Ab urbe condita libri,Livy,"Weissenborn, Wilhelm, 1803-1878",Ab Urbe Condita,B.G. Teubner,Leipzig,1877,https://catalog.hathitrust.org/Record/100165395,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR1006,IR1006,Titi Livi Ab urbe condita libri,Livy,"Weissenborn, Wilhelm, 1803-1878",Ab Urbe Condita,B.G. Teubner,Leipzig,1894,https://catalog.hathitrust.org/Record/100609182,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR1007,IR1007,Titi Livi ab urbe condita libri,Livy,"Weissenborn, Wilhelm, 1803-1878",Ab Urbe Condita,B.G. Teubner,Leipzig,1883,https://catalog.hathitrust.org/Record/003597466,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR1008,IR1008,Titi Livi Ab urbe condita Liber I. für den Schulgebrauch,Livy,"Müller, Moritz, 1854-",Ab Urbe Condita,B.G. Teubner,Leipzig,1875,https://catalog.hathitrust.org/Record/100509897,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR11,IR11,"T. Liuii Patauini, Historiarum ab urbe condita, libri qui extant, XXXV",Livy,"Sigonio, Carlo, 1524?-1584, Manuzio, Paolo, 1512-1574",Ab Urbe Condita,"apud Paulum Manutium, Aldi F. ...",Venetiis,1555,https://catalog.hathitrust.org/Record/009311707,HathiTrust Digital Library,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR21,IR21,"T. Livii patavini, Historiarum ad urbe condita, libri, qui extant, XXXV. Cum universae historiae epitomis",Livy,"Manuzio, Paolo, 1512-1574",Ab Urbe Condita,"apud Paulum Manutium, Aldi F.",Venetiis,1566,https://catalog.hathitrust.org/Record/009311392,HathiTrust Digital Library,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR909,IR909,M. Tullii Ciceronis Academicorum ad M. Varronem libri duo,"Cicero, Marcus Tullius","Klotz, Reinhold, 1807-1870",Academica,B.G. Teubner,Leipzig,1854,https://catalog.hathitrust.org/Record/011535004,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR4,IR4,"M. Tullii Ciceronis De philosophia prima pars[-uolumen secundum], id est ...","Cicero, Marcus Tullius","Manuzio, Paolo, 1512-1574",Academica;De Finibus;De Natura Deorum;De Divinatione;De Fato;De Legibus;Timaeus;Commentariolum petitionis (dub.),apud Aldi filios,Venetiis,1546,https://catalog.hathitrust.org/Record/100024812,HathiTrust Digital Library,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR908,IR908,"Marci Tullii Ciceronis scripta quae manserunt omnia, fasc. 42: Academicorum reliquiae cum Lucullo","Cicero, Marcus Tullius","Plasberg, Otto, 1869-1924",Academica;Lucullus,B.G. Teubner,Leipzig,1922,https://catalog.hathitrust.org/Record/011682573,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR910,IR910,"Marci Tullii Ciceronis scripta quae manserunt omnia, fasc. 42: Academicorum reliquiae cum Lucullo","Cicero, Marcus Tullius","Plasberg, Otto, 1869-1924",Academica;Lucullus,B.G. Teubner,Leipzig,1922,https://catalog.hathitrust.org/Record/100227035,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR1083,IR1083,P. Papini Stati Achilleis,"Statius, P. Papinius (Publius Papinius)","Klotz, Alfred, 1874-1956",Achilleis,B.G. Teubner,Leipzig,1902,https://catalog.hathitrust.org/Record/001809970,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR1082,IR1082,P. Papini Statii Achilleis et Thebais.,"Statius, P. Papinius (Publius Papinius)","Kohlmann, Philipp, 1842-1889",Achilleis;Thebais,B.G. Teubner,Leipzig,1884,https://catalog.hathitrust.org/Record/100151351,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR1084,IR1084,P. Papinii Statii Achilleis et Thebais,"Statius, P. Papinius (Publius Papinius)","Kohlmann, Philipp, 1842-1889",Achilleis;Thebais,B.G. Teubner,Leipzig,1884,https://catalog.hathitrust.org/Record/001809979,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR1128,IR1128,P. Terenti Afri Comoediae,Terence,"Fleckeisen, Alfred, 1820-1899",Adelphoe;Andria;Eunuchus;Heauton Timorumenos;Hecyra;Phormio,B.G. Teubner,Leipzig,1905,https://catalog.hathitrust.org/Record/012292857,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR1129,IR1129,P. Terenti Afri: Comoediae,Terence,"Fleckeisen, Alfred, 1820-1899",Adelphoe;Andria;Eunuchus;Heauton Timorumenos;Hecyra;Phormio,B.G. Teubner,Leipzig,1901,https://catalog.hathitrust.org/Record/100616584,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR1130,IR1130,P. Terenti Comoediae,Terence,"Fleckeisen, Alfred, 1820-1899",Adelphoe;Andria;Eunuchus;Heauton Timorumenos;Hecyra;Phormio,B.G. Teubner,Leipzig,1868,https://catalog.hathitrust.org/Record/001810204,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR1131,IR1131,P. Terenti Comoediae,Terence,"Fleckeisen, Alfred, 1820-1899",Adelphoe;Andria;Eunuchus;Heauton Timorumenos;Hecyra;Phormio,B.G. Teubner,Leipzig,1884,https://catalog.hathitrust.org/Record/001810203,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR1132,IR1132,P. Terenti Afri Comoediae,Terence,"Fleckeisen, Alfred, 1820-1899",Adelphoe;Andria;Eunuchus;Heauton Timorumenos;Hecyra;Phormio,B.G. Teubner,Leipzig,1898,https://catalog.hathitrust.org/Record/100370421,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR1133,IR1133,P. Terenti Comoediae,Terence,"Fleckeisen, Alfred, 1820-1899",Adelphoe;Andria;Eunuchus;Heauton Timorumenos;Hecyra;Phormio,B.G. Teubner,Leipzig,1861,https://catalog.hathitrust.org/Record/011568873,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR1134,IR1134,P. Terenti Comoediae,Terence,"Fleckeisen, Alfred, 1820-1899",Adelphoe;Andria;Eunuchus;Heauton Timorumenos;Hecyra;Phormio,B.G. Teubner,Leipzig,1871,https://catalog.hathitrust.org/Record/009623162,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR1135,IR1135,P. Terenti Comoediae,Terence,"Fleckeisen, Alfred, 1820-1899",Adelphoe;Andria;Eunuchus;Heauton Timorumenos;Hecyra;Phormio,B.G. Teubner,Leipzig,1881,https://catalog.hathitrust.org/Record/001810202,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR1136,IR1136,P. Terenti Afri Comoediae,Terence,"Fleckeisen, Alfred, 1820-1899",Adelphoe;Andria;Eunuchus;Heauton Timorumenos;Hecyra;Phormio,B.G. Teubner,Leipzig,1905,https://catalog.hathitrust.org/Record/100389883,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR1137,IR1137,P. Terenti Comoediae,Terence,"Fleckeisen, Alfred, 1820-1899",Adelphoe;Andria;Eunuchus;Heauton Timorumenos;Hecyra;Phormio,B.G. Teubner,Leipzig,1895,https://catalog.hathitrust.org/Record/001810206,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR1138,IR1138,P. Terenti Afri Comoediae,Terence,"Fleckeisen, Alfred, 1820-1899",Adelphoe;Andria;Eunuchus;Heauton Timorumenos;Hecyra;Phormio,B.G. Teubner,Leipzig,1898,https://catalog.hathitrust.org/Record/012323958,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR1139,IR1139,P. Terenti Comoediae,Terence,"Fleckeisen, Alfred, 1820-1899",Adelphoe;Andria;Eunuchus;Heauton Timorumenos;Hecyra;Phormio,B.G. Teubner,Leipzig,1874,https://catalog.hathitrust.org/Record/001810205,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR1140,IR1140,P. Terenti Comoediae,Terence,"Fleckeisen, Alfred, 1820-1899",Adelphoe;Andria;Eunuchus;Heauton Timorumenos;Hecyra;Phormio,B.G. Teubner,Leipzig,1857,https://catalog.hathitrust.org/Record/008418512,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR1282,IR1282,Adnotationes super Lucanum,"Endt, Johannes","Endt, Johannes",Adnotationes super Lucanum,B.G. Teubner,Leipzig,1909,https://catalog.hathitrust.org/Record/006792410,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR1156,IR1156,P. Vergili Maronis Aeneis in usum scholarum,Virgil,,Aeneis,B.G. Teubner,Leipzig,1901,https://catalog.hathitrust.org/Record/011725260,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR1157,IR1157,P. Vergili Maronis Aeneis,Virgil,"Janell, Walther, 1877-1932, Ribbeck, Otto, 1827-1898",Aeneis,B.G. Teubner,Leipzig,1920,https://catalog.hathitrust.org/Record/008235494,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR1158,IR1158,P. Vergili Maronis Aeneis in usum scholarum ,Virgil,"Ribbeck, Otto, 1827-1898",Aeneis,B.G. Teubner,Leipzig,1898,https://catalog.hathitrust.org/Record/100836046,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR1159,IR1159,P. Vergili Maronis Aeneis,Virgil,"Güthling, Otto, 1853-1931",Aeneis,B.G. Teubner,Leipzig,1907,https://catalog.hathitrust.org/Record/007027457,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR1160,IR1160,"P. Vergili Maronis Bucolica, Georgica et Aeneis",Virgil,"Güthling, Otto, 1853-1931",Aeneis;Eclogae;Georgica,B.G. Teubner,Leipzig,1901,https://catalog.hathitrust.org/Record/000909913,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR1161,IR1161,"P. Vergili Maronis Bucolica, Georgica, Aeneis",Virgil,"Güthling, Otto, 1853-1931",Aeneis;Eclogae;Georgica,B.G. Teubner,Leipzig,1901,https://catalog.hathitrust.org/Record/101834932,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR1162,IR1162,"P. Vergili Maronis Bucolica, Georgica, Aeneis",Virgil,"Güthling, Otto, 1853-1931",Aeneis;Eclogae;Georgica,B.G. Teubner,Leipzig,1894,https://catalog.hathitrust.org/Record/100739923,HathiTrust,Public Domain,Public Domain,,PDF
