DLL Page Link,DLL Identifier,Record title,Creator,Source Edition,Source,Publisher,Repository Source,Access Date,rights,DLL Author,DLL Work Reference
https://catalog.digitallatin.org/dll-web-page/WP1989,WP1989,Oratio consolatoria,"Bruno, Giordano",,http://www.internetculturale.it/jmms/iccuviewer/iccu.jsp?id=oai%3Awww.bibliotecaitaliana.it%3A2%3ANT0001%3Abibit000527&mode=all&teca=BibIt,Roma : Biblioteca Italiana (http://www.bibliotecaitaliana.it) 2004,Biblioteca Digitale Italiana,2018-07-07,CC BY-NC-SA 3.0 IT,"Bruno, Giordano, 1548-1600",Oratio consolatoria
https://catalog.digitallatin.org/dll-web-page/WP1984,WP1984,Politia literaria (pars VI),"Decembrio, Angelo Camillo",,http://www.internetculturale.it/jmms/iccuviewer/iccu.jsp?id=oai%3Awww.bibliotecaitaliana.it%3A2%3ANT0001%3Abibit001428&mode=all&teca=BibIt,Roma : Biblioteca Italiana (http://www.bibliotecaitaliana.it) 2004,Biblioteca Digitale Italiana,2018-07-07,CC BY-NC-SA 3.0 IT,"Decembrio, Angelo, approximately 1415-1462",Politia literaria (pars VI)
https://catalog.digitallatin.org/dll-web-page/WP1981,WP1981,Secretum,"Petrarca, Francesco",,http://www.internetculturale.it/jmms/iccuviewer/iccu.jsp?id=oai%3Awww.bibliotecaitaliana.it%3A2%3ANT0001%3Abibit000518&mode=all&teca=BibIt,Roma : Biblioteca Italiana (http://www.bibliotecaitaliana.it) 2004,Biblioteca Digitale Italiana,2018-07-07,CC BY-NC-SA 3.0 IT,"Petrarca, Francesco",Secretum
https://catalog.digitallatin.org/dll-web-page/WP1987,WP1987,Vita s.mi fratris Petri Damiani,"Boccaccio, Giovanni",,http://www.internetculturale.it/jmms/iccuviewer/iccu.jsp?id=oai%3Awww.bibliotecaitaliana.it%3A2%3ANT0001%3Abibit000630&mode=all&teca=BibIt,Roma : Biblioteca Italiana (http://www.bibliotecaitaliana.it) 2007,Biblioteca Digitale Italiana,2018-07-07,CC BY-NC-SA 3.0 IT,"Boccaccio, Giovanni, 1313-1375",Vita s.mi fratris Petri Damiani
https://catalog.digitallatin.org/dll-web-page/WP1985,WP1985,Comentum super poema Comedie Dantis (I red.),"Alighieri, Pietro",,http://www.internetculturale.it/jmms/iccuviewer/iccu.jsp?id=oai%3Awww.bibliotecaitaliana.it%3A2%3ANT0001%3Abibit001184&mode=all&teca=BibIt,Roma : Biblioteca Italiana (http://www.bibliotecaitaliana.it) 2005,Biblioteca Digitale Italiana,2018-07-07,CC BY-NC-SA 3.0 IT,"Alighieri, Pietro, -1364",Comentum super poema Comedie Dantis (I red.)
https://catalog.digitallatin.org/dll-web-page/WP1979,WP1979,Bucolica,"Cantalicio, Gianni Battista",,http://www.internetculturale.it/jmms/iccuviewer/iccu.jsp?id=oai%3Awww.bibliotecaitaliana.it%3A2%3ANT0001%3Abibit000313&mode=all&teca=BibIt,Roma : Biblioteca Italiana (http://www.bibliotecaitaliana.it) 2004,Biblioteca Digitale Italiana,2018-07-07,CC BY-NC-SA 3.0 IT,"Cantalicio, Giovanni Battista, -1515",Bucolica
https://catalog.digitallatin.org/dll-web-page/WP1982,WP1982,De dictis et factis Alphonsi regis,Beccadelli Antonio (detto il Panormita),,http://www.internetculturale.it/jmms/iccuviewer/iccu.jsp?id=oai%3Awww.bibliotecaitaliana.it%3A2%3ANT0001%3Abibit000602&mode=all&teca=BibIt,Roma : Biblioteca Italiana (http://www.bibliotecaitaliana.it) 2004,Biblioteca Digitale Italiana,2018-07-07,CC BY-NC-SA 3.0 IT,"Beccadelli, Antonio, 1394-1471",De dictis et factis Alphonsi regis
https://catalog.digitallatin.org/dll-web-page/WP1988,WP1988,Elenchi di letture,"Leopardi, Giacomo",,http://www.internetculturale.it/jmms/iccuviewer/iccu.jsp?id=oai%3Awww.bibliotecaitaliana.it%3A2%3ANT0001%3Abibit001663&mode=all&teca=BibIt,Roma : Biblioteca Italiana (http://www.bibliotecaitaliana.it) 2008,Biblioteca Digitale Italiana,2018-07-07,CC BY-NC-SA 3.0 IT,"Leopardi, Giacomo, 1798-1837",Elenchi di letture
https://catalog.digitallatin.org/dll-web-page/WP1986,WP1986,Expositio L. Annaei Senecae Agamemnonis,"Trevet, Nicola",,http://www.internetculturale.it/jmms/iccuviewer/iccu.jsp?id=oai%3Awww.bibliotecaitaliana.it%3A2%3ANT0001%3Abibit000937&mode=all&teca=BibIt,Roma : Biblioteca Italiana (http://www.bibliotecaitaliana.it) 2005,Biblioteca Digitale Italiana,2018-07-07,CC BY-NC-SA 3.0 IT,"Trivet, Nicholas, 1258?-1328",Expositio L. Annaei Senecae Agamemnonis
https://catalog.digitallatin.org/dll-web-page/WP1983,WP1983,Ipercalisse,"Foscolo, Ugo",,http://www.internetculturale.it/jmms/iccuviewer/iccu.jsp?id=oai%3Awww.bibliotecaitaliana.it%3A2%3ANT0001%3Abibit001412&mode=all&teca=BibIt,Roma : Biblioteca Italiana (http://www.bibliotecaitaliana.it) 2008,Biblioteca Digitale Italiana,2018-07-07,CC BY-NC-SA 3.0 IT,"Foscolo, Ugo, 1778-1827",Ipercalisse
