"DLL Page Link","Record title","Alternative Title","Work Authority","Work Abbreviated","Has Part","Part Of","References","Creator","Attributed to","Dubious/Spurious Attribution","DLL Identifier","PHI Number","Stoa Number","CTS URN"
"https://catalog.digitallatin.org/dll-work/W4556","","","Perseus","","","","","","","","W4556","","stoa0300.stoa001","urn:cts:latinLit:stoa0300.stoa001"
"https://catalog.digitallatin.org/dll-work/W568","","","Perseus","","","","","Ubaldi, Baldo degli, 1327?-1400","","","W568","","stoa0050.stoa001","urn:cts:latinLit:stoa0050.stoa001"
"https://catalog.digitallatin.org/dll-work/W5238","","","Perseus","","","","","Ambrose, Saint, Bishop of Milan","","Dubiously/Spuriously Attributed","W5238","","stoa0022.stoa48a","urn:cts:latinLit:stoa0022.stoa48a"
"https://catalog.digitallatin.org/dll-work/W549","","","Perseus","","","","","Ambrose, Saint, Bishop of Milan","","Dubiously/Spuriously Attributed","W549","","stoa0022.stoa045a","urn:cts:latinLit:stoa0022.stoa045a"
"https://catalog.digitallatin.org/dll-work/W605","","","Perseus","","","","","Ambrose, Saint, Bishop of Milan","","Dubiously/Spuriously Attributed","W605","","stoa0022.stoa48b","urn:cts:latinLit:stoa0022.stoa48b"
"https://catalog.digitallatin.org/dll-work/W863","","","Perseus","","","","","Bernard, of Clairvaux, Saint","","","W863","","stoa0056a.stoa001",""
"https://catalog.digitallatin.org/dll-work/W4101","","","Perseus","Char","","","","Alfanus, Saint","","","W4101","","stoa0021c.stoa001","urn:cts:latinLit:stoa0021c.stoa001"
"https://catalog.digitallatin.org/dll-work/W547","","","Perseus","","","","","Ambrose, Saint, Bishop of Milan","","Dubiously/Spuriously Attributed","W547","","stoa0022.stoa054a","urn:cts:latinLit:stoa0022.stoa054a"
"https://catalog.digitallatin.org/dll-work/W211","","","Perseus Catalog","","","","","Augustine, Saint, Archbishop of Canterbury","","","W211","","stoa0040b.stoa003","urn:cts:latinLit:stoa0040b.stoa003"
"https://catalog.digitallatin.org/dll-work/W707","","","","","Nomina Musarum;Technopaegnion;Versus paschales;Precationes;Mosella;Protrepticus ad nepotem;Griphus ternarii numeri;Genethliacos ad Ausonium nepotem;Epicedion in patrem;De herediolo;Cupido cruciatus;Cento nuptialis;Bissula","","","Ausonius, Decimus Magnus","","Dubiously/Spuriously Attributed","W707","","",""
"https://catalog.digitallatin.org/dll-work/W3589","","","Perseus","","","","","Eutropius, active 4th century","","","W3589","","stoa0120h.stoa002","urn:cts:latinLit:stoa0120h.stoa002"
"https://catalog.digitallatin.org/dll-work/W2423","","","Perseus","","","","","Felix III, Pope","","","W2423","","stoa0121j.stoa001","urn:cts:latinLit:stoa0121j.stoa001"
"https://catalog.digitallatin.org/dll-work/W1370","","","","","","","","Felix I, Pope","","","W1370","","stoa0121i.stoa001","urn:cts:latinLit:stoa0121i.stoa001"
"https://catalog.digitallatin.org/dll-work/W4489","","","Perseus","","","","","Felix IV, Pope","","","W4489","","stoa0121k.stoa001","urn:cts:latinLit:stoa0121k.stoa001"
"https://catalog.digitallatin.org/dll-work/W4046","","","Perseus","Ecc.Dog.","","","","Gennadius, of Marseilles","","","W4046","","",""
"https://catalog.digitallatin.org/dll-work/W1439","","","Perseus","","","","","Alulf, of Tournai","","","W1439","","stoa0021b.stoa001","urn:cts:latinLit:stoa0021b.stoa001"
"https://catalog.digitallatin.org/dll-work/W1314","","","Perseus Catalog","","","","","Erasmus, Desiderius","","","W1314","","stoa0115.stoa006","urn:cts:latinLit:stoa0115.stoa006"
"https://catalog.digitallatin.org/dll-work/W3907","","","PHI","","Aelii Spartiani De Vita Hadriani (dub.);Aelii Spartiani Aelius (dub.);Iuli Capitolini Antoninus Pius (dub.);Vita Marci Antonini Philosophi Iuli Capitolini (dub.);Iuli Capitolini Verus (dub.);Avidius Cassius Vulcacii Gallicani V.C. (dub.);Commodus Antoninus Aeli Lampridi (dub.);Helvius Pertinax Iuli Capitolini (dub.);Didius Iulianus Aeli Spartiani (dub.);Aeli Spartiani Severus (dub.);Pescennius Niger Aeli Spartiani (dub.);Vita Clodii Albini Iulii Capitolini (dub.);Antoninus Caracallus Aeli Spartiani (dub.);Antoninus Geta Aeli Spartiani (dub.);Opilius Macrinus Iuli Capitolini (dub.);Diadumenus Antoninus Aelii Lampridii (dub.);Aeli Lampridii Antoninus Heliogabalus (dub.);Alexander Severus Aeli Lampridii (dub.);Maximini Duo Iuli Capitolini (dub.);Gordiani Tres Iuli Capitolini (dub.);Maximus Et Balbinus Iuli Capitolini (dub.);Trebelli Pollionis Valeriani Duo (dub.);Trebelli Pollionis Gallieni Duo;Trebelli Pollionis Tyranni Triginta (dub.);Trebelli Pollionis Divus Claudius (dub.);Flavi Vopisci Syracusii Divus Aurelianus (dub.);Flavi Vopisci Syracusii Tacitus (dub.);Flavi Vopisci Syracusii Probus (dub.);Flavi Vopisci Syracusii Quadrigae Tyrannorum (dub.);Flavi Vopisci Syracusii Carus Et Carinus Et Numerianus (dub.)","","","Vopiscus, Flavius;Spartianus, Aelius;Capitolinus, Julius, active 300;Vulcacius Gallicanus ca. 3rd/4th century;Trebellius Pollio ca. 3rd/4. century;Lampridius, Aelius","","Dubiously/Spuriously Attributed","W3907","phi2331","","urn:cts:latinLit:phi2331"
"https://catalog.digitallatin.org/dll-work/W94","","","LLT-A","","","","","Thomas, Aquinas, Saint","","","W94","","",""
"https://catalog.digitallatin.org/dll-work/W122","","","LLT-A","","","","","Thomas, Aquinas, Saint","","","W122","","",""
"https://catalog.digitallatin.org/dll-work/W93","","","LLT-A","","","","","Thomas, Aquinas, Saint","","","W93","","",""
